DATE;CLE DE REPARTITION;TYPE DE CHARGE;LIBELLE;A REPARTIR;TVA;RECUPERABLE
18/03/2025;001 - CHARGES GENERALES;100 - CONTRAT D'ENTRETIEN R;ENTREPRISE A - ENTRETIEN TOITURE TERRASSE 2025;"650,47";"59,13";"650,47"
15/12/2025;001 - CHARGES GENERALES;110 - CONTRAT ESPACES VERTS R;ENTREPRISE B - ENTRETIEN 4E TRIM 2025;"472,12";"78,69";"472,12"
09/09/2025;001 - CHARGES GENERALES;110 - CONTRAT ESPACES VERTS R;ENTREPRISE B - ENTRETIEN 3E TRIM 2025;"472,12";"78,69";"472,12"
10/06/2025;001 - CHARGES GENERALES;110 - CONTRAT ESPACES VERTS R;ENTREPRISE B - ENTRETIEN 2E TRIM 2025;"472,12";"78,69";"472,12"
18/03/2025;001 - CHARGES GENERALES;110 - CONTRAT ESPACES VERTS R;ENTREPRISE B - ENTRETIEN 1E TRIM 2025;"472,12";"78,69";"472,12"
30/04/2025;001 - CHARGES GENERALES;120 - CONTRAT NETTOYAGE;ENTREPRISE C - NETTOYAGE PARTIES COMMUNES;"325,00";"32,50";"325,00"
30/06/2025;001 - CHARGES GENERALES;120 - CONTRAT NETTOYAGE;ENTREPRISE C - NETTOYAGE PARTIES COMMUNES;"325,00";"32,50";"325,00"
30/09/2025;001 - CHARGES GENERALES;120 - CONTRAT NETTOYAGE;ENTREPRISE C - NETTOYAGE PARTIES COMMUNES;"325,00";"32,50";"325,00"
31/12/2025;001 - CHARGES GENERALES;120 - CONTRAT NETTOYAGE;ENTREPRISE C - NETTOYAGE PARTIES COMMUNES;"325,00";"32,50";"325,00"
15/05/2025;001 - CHARGES GENERALES;150 - ASSURANCE IMMEUBLE;ASSUREUR X - PRIME ANNUELLE 2025;"2 680,00";"0,00";"2 680,00"
10/01/2025;001 - CHARGES GENERALES;200 - EAU FROIDE;FOURNISSEUR EAU - ABONNEMENT + CONSOMMATION;"1 295,60";"0,00";"1 295,60"
10/07/2025;001 - CHARGES GENERALES;200 - EAU FROIDE;FOURNISSEUR EAU - ABONNEMENT + CONSOMMATION;"1 234,80";"0,00";"1 234,80"
15/02/2025;002 - CHARGES ASCENSEUR;300 - CONTRAT ASCENSEUR;ENTREPRISE D - MAINTENANCE ASCENSEUR 2025;"1 020,00";"102,00";"1 020,00"
20/09/2025;001 - CHARGES GENERALES;400 - HONORAIRES SYNDIC;CABINET SYNDIC - HONORAIRES 2025;"3 780,00";"378,00";"3 780,00"
05/11/2025;001 - CHARGES GENERALES;500 - TRAVAUX RAVALEMENT;ENTREPRISE E - RAVALEMENT FACADE (ACOMPTE);"8 500,00";"850,00";"8 500,00"
